URL,File Size,# of outlinks,Content-type
https://www.latimes.com/,221265,268,text/html
http://www.latimes.com/entertainment/movies/,242457,209,text/html
http://www.latimes.com/business/realestate/hot-property/,199956,205,text/html
http://www.latimes.com/travel/,280468,244,text/html
https://www.latimes.com/entertainment/movies/la-ca-list-0923-movie-openings-20180923-story.html,215095,153,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-charles-buddy-rogers-hollywood-home-20180918-story.html,114111,147,text/html
http://www.latimes.com/la-bio-amy-kaufman-staff.html,101192,181,text/html
https://www.latimes.com/local/lanow/la-me-ln-suge-knight-postscript-201800922-story.html,264355,167,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-capsule-strange-nature-review-20180920-story.html,196446,151,text/html
https://www.latimes.com/local/lanow/la-me-ln-viet-mccain-20180830-story.html,213889,156,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-fahrenheit-11-9-review-20180920-story.html,202813,151,text/html
http://www.latimes.com/local/datadesk/,224639,202,text/html
http://www.latimes.com/travel/la-tr-airfare-deal-20180921-story.html,187907,153,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-hot-property-lee-cowan-molly-palmer-20180917-story.html,121109,147,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-joshua-malina-mar-vista-20180920-story.html,117283,145,text/html
http://www.latimes.com/travel/la-tr-escape-markleeville-20180906-story.html,227296,158,text/html
http://www.latimes.com/espanol/,296194,238,text/html
http://www.latimes.com/travel/la-tr-california-bucket-list-20180123-story.html,220958,166,text/html
https://www.latimes.com/world/europe/la-fg-russia-israel-20180923-story.html,198478,153,text/html
http://www.latimes.com/business/la-fi-ct-ovitz-book-excerpt-20180923-htmlstory.html,155934,179,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-life-itself-review-20180920-story.html,201827,151,text/html
https://www.latimes.com/la-bio-nicole-santa-cruz-staff.html,99149,183,text/html
http://www.latimes.com/sports/ucla/,239656,205,text/html
http://www.latimes.com/travel/cruises/,238102,204,text/html
http://www.latimes.com/travel/la-tr-road-trips-slo-cal-20180520-story.html,208920,169,text/html
http://www.latimes.com/entertainment/movies/la-ca-list-0923-movie-openings-20180923-story.html?outputType=amp,124487,62,text/html
http://www.latimes.com/travel/la-tr-california-bucket-list-updates-roam-the-san-luis-obispo-canyon-full-of-1513211244-htmlstory.html,201672,191,text/html
http://www.latimes.com/local/earthquakes/,234569,210,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hotprop-owlwood-20180919-story.html,118877,148,text/html
http://www.latimes.com/travel/la-tr-california-bucket-list-ballpark-roundup-20180517-story.html,205546,161,text/html
http://www.latimes.com/brandpublishing/travelplus/,121623,53,text/html
http://www.latimes.com/entertainment/movies/la-et-mn-assassination-nation-review-20180920-story.html,207308,151,text/html
https://www.latimes.com/business/realestate/hot-property/la-fi-hp-hotprop-20180922-story.html,253652,149,text/html
http://www.latimes.com/business/realestate/hot-property/la-fi-hp-home-20180922-story.html,116905,146,text/html
http://www.latimes.com/travel/la-tr-california-bucket-list-updates-feast-your-eyes-and-watch-your-step-in-1512607500-htmlstory.html,200593,190,text/html
https://www.latimes.com/entertainment/herocomplex/la-et-ms-rolly-crump-20180907-story.html,275929,156,text/html
http://www.latimes.com/espanol/politica/,253641,209,text/html
http://www.latimes.com/world/africa/,234399,205,text/html
http://www.latimes.com/travel/cruises/la-tr-cruises-new-princess-chips-coming-to-los-angeles-20180911-story.html,198071,155,text/html
https://www.latimes.com/pb/resources/images/lat_icons/114-iTunesArtwork.png?v=85,2951,0,image/png
https://www.latimes.com/la-bio-sarah-parvini-staff.html,98442,182,text/html
